Text,Label
recognition extraordinary services rendered discovery remarkable rays subsequently named,0
work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths,1
humanitarian efforts help wounded soldiers create international understanding,2
lifelong work international peace conferences diplomacy arbitration,2
special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect,3
recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions,4
recognition extraordinary services rendered work sugar purine syntheses,4
greatest living master art historical writing special reference monumental work IA history RomeI,3
eminently practical administration InterParliamentary Union,2
untiring skilful directorship Bern Peace Bureau,2
recognition extraordinary service rendered researches influence magnetism upon radiation phenomena,0
work malaria shown enters organism thereby laid foundation successful research disease methods combating,1
recognition extraordinary service rendered researches influence magnetism upon radiation phenomena,0
recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
longstanding devoted effort favour ideas peace arbitration,2
recognition extraordinary services rendered discovery spontaneous radioactivity,0
recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science,1
tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit,3
recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation,4
recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama,3
investigations densities important gases discovery argon connection studies,0
striving public law develop peaceful ties nations make laws war humane,2
recognition services discovery inert gaseous elements air determination place periodic system,4
recognition work physiology digestion knowledge vital aspects subject transformed enlarged,1
recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work Provenccedilal philologist,3
recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds,4
outstanding merits epic writer,3
work cathode rays,0
audacity oppose horrors war,2
investigations discoveries relation tuberculosis,1
consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces,3
role bringing end bloody war recently waged two worlds great powers Japan Russia,2
recognition great merits theoretical experimental investigations conduction electricity gases,0
recognition work structure nervous system,1
recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called,4
recognition work structure nervous system,1
recognition work role played protozoa causing diseases,1
biochemical researches discovery cellfree fermentation,4
consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author,3
decisive influence upon conduct outcome Hague Geneva Conferences,2
work press peace meetings public private understanding France Italy,2
optical precision instruments spectroscopic metrological investigations carried aid,0
investigations disintegration elements chemistry radioactive substances,4
recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life,3
long time work cause peace politicians peace society leaders orators authors,2
recognition work immunity,1
recognition work immunity,1
long time work cause peace politicians peace society leaders orators authors,2
