Year,Laureate_Id_x,Firstname,Lastname,Category,Prize_Share,Motivation,Laureate_Id_y,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1901,1,Wilhelm Conrad,Röntgen,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1,male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,10/02/1923,Germany,Munich,DE,Munich University,Munich,Germany
1901,293,Emil,von Behring,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",293,male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,31/03/1917,Germany,Marburg,DE,Marburg University,Marburg,Germany
1901,462,Henry,Dunant,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",462,male,1828-05-08,Switzerland,Geneva,CH,30/10/1910,Switzerland,Heiden,CH,,,
1901,463,Frédéric,Passy,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",463,male,1822-05-20,France,Paris,FR,12/06/1912,France,Paris,FR,,,
1901,569,Sully,Prudhomme,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",569,male,1839-03-16,France,Paris,FR,07/09/1907,France,Châtenay,FR,,,
1901,160,Jacobus H.,van 't Hoff,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160,male,1852-08-30,the Netherlands,Rotterdam,NL,01/03/1911,Germany,Berlin,DE,Berlin University,Berlin,Germany
1902,161,Emil,Fischer,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161,male,1852-10-09,Prussia (now Germany),Euskirchen,DE,15/07/1919,Germany,Berlin,DE,Berlin University,Berlin,Germany
1902,571,Theodor,Mommsen,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",571,male,1817-11-30,Schleswig (now Germany),Garding,DE,01/11/1903,Germany,Charlottenburg,DE,,,
1902,465,Albert,Gobat,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",465,male,1843-05-21,Switzerland,Tramelan,CH,16/03/1914,Switzerland,Bern,CH,,,
1902,464,Élie,Ducommun,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",464,male,1833-02-19,Switzerland,Geneva,CH,07/12/1906,Switzerland,Bern,CH,,,
1902,3,Pieter,Zeeman,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",3,male,1865-05-25,the Netherlands,Zonnemaire,NL,09/10/1943,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands
1902,294,Ronald,Ross,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",294,male,1857-05-13,India,Almora,IN,16/09/1932,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom
1902,2,Hendrik A.,Lorentz,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2,male,1853-07-18,the Netherlands,Arnhem,NL,04/02/1928,the Netherlands,,NL,Leiden University,Leiden,the Netherlands
1903,5,Pierre,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",5,male,1859-05-15,France,Paris,FR,19/04/1906,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
1903,466,Randal,Cremer,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",466,male,1828-03-18,United Kingdom,Fareham,GB,22/07/1908,United Kingdom,London,GB,,,
1903,4,Henri,Becquerel,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",4,male,1852-12-15,France,Paris,FR,25/08/1908,France,,FR,École Polytechnique,Paris,France
1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",6,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,
1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",6,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,Sorbonne University,Paris,France
1903,295,Niels Ryberg,Finsen,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",295,male,1860-12-15,Faroe Islands (Denmark),Thorshavn,DK,24/09/1904,Denmark,Copenhagen,DK,Finsen Medical Light Institute,Copenhagen,Denmark
1903,572,Bjørnstjerne,Bjørnson,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",572,male,1832-12-08,Norway,Kvikne,NO,26/04/1910,France,Paris,FR,,,
1903,162,Svante,Arrhenius,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",162,male,1859-02-19,Sweden,Vik,SE,02/10/1927,Sweden,Stockholm,SE,Stockholm University,Stockholm,Sweden
1904,574,José,Echegaray,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",574,male,1832-04-19,Spain,Madrid,ES,04/09/1916,Spain,Madrid,ES,,,
1904,8,Lord,Rayleigh,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",8,male,1842-11-12,United Kingdom,Langford Grove Maldon Essex,GB,30/06/1919,United Kingdom,,GB,Royal Institution of Great Britain,London,United Kingdom
1904,467,Institute of International Law,,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",467,org,1873-00-00,,,,0000-00-00,,,,,,
1904,163,Sir William,Ramsay,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",163,male,1852-10-02,Scotland,Glasgow,GB,23/07/1916,United Kingdom,High Wycombe,GB,University College,London,United Kingdom
1904,296,Ivan,Pavlov,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",296,male,1849-09-14,Russia,Ryazan,RU,27/02/1936,Russia,Leningrad,RU,Military Medical Academy,St. Petersburg,Russia
1904,573,Frédéric,Mistral,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",573,male,1830-09-08,France,Maillane,FR,25/03/1914,France,Maillane,FR,,,
1905,164,Adolf,von Baeyer,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",164,male,1835-10-31,Prussia (now Germany),Berlin,DE,20/08/1917,Germany,Starnberg,DE,Munich University,Munich,Germany
1905,575,Henryk,Sienkiewicz,literature,1,"""because of his outstanding merits as an epic writer""",575,male,1846-05-05,Poland,Wola Okrzejska,PL,15/11/1916,Switzerland,Vevey,CH,,,
